mpg,cylinders,displacement,horsepower,weight,acceleration,model year,origin,name,kpl,hp_bins
18.0,8,307.0,130.0,3504.0,12.0,70,USA,chevrolet chevelle malibu,7.65,보통출력
15.0,8,350.0,165.0,3693.0,11.5,70,USA,buick skylark 320,6.38,보통출력
18.0,8,318.0,150.0,3436.0,11.0,70,USA,plymouth satellite,7.65,보통출력
16.0,8,304.0,150.0,3433.0,12.0,70,USA,amc rebel sst,6.8,보통출력
17.0,8,302.0,140.0,3449.0,10.5,70,USA,ford torino,7.23,보통출력
15.0,8,429.0,198.0,4341.0,10.0,70,USA,ford galaxie 500,6.38,고출력
14.0,8,454.0,220.0,4354.0,9.0,70,USA,chevrolet impala,5.95,고출력
14.0,8,440.0,215.0,4312.0,8.5,70,USA,plymouth fury iii,5.95,고출력
14.0,8,455.0,225.0,4425.0,10.0,70,USA,pontiac catalina,5.95,고출력
15.0,8,390.0,190.0,3850.0,8.5,70,USA,amc ambassador dpl,6.38,고출력
15.0,8,383.0,170.0,3563.0,10.0,70,USA,dodge challenger se,6.38,고출력
14.0,8,340.0,160.0,3609.0,8.0,70,USA,plymouth 'cuda 340,5.95,보통출력
15.0,8,400.0,150.0,3761.0,9.5,70,USA,chevrolet monte carlo,6.38,보통출력
14.0,8,455.0,225.0,3086.0,10.0,70,USA,buick estate wagon (sw),5.95,고출력
24.0,4,113.0,95.0,2372.0,15.0,70,Japan,toyota corona mark ii,10.2,저출력
22.0,6,198.0,95.0,2833.0,15.5,70,USA,plymouth duster,9.35,저출력
18.0,6,199.0,97.0,2774.0,15.5,70,USA,amc hornet,7.65,저출력
21.0,6,200.0,85.0,2587.0,16.0,70,USA,ford maverick,8.93,저출력
27.0,4,97.0,88.0,2130.0,14.5,70,Japan,datsun pl510,11.48,저출력
26.0,4,97.0,46.0,1835.0,20.5,70,EU,volkswagen 1131 deluxe sedan,11.05,저출력
25.0,4,110.0,87.0,2672.0,17.5,70,EU,peugeot 504,10.63,저출력
24.0,4,107.0,90.0,2430.0,14.5,70,EU,audi 100 ls,10.2,저출력
