지점명,주소,lat,lng
서울로테라스점,"서울 중구 퇴계로 18, 서울로테라스 2층",37.5565630,126.9751735
서초역점,서울시 서초구 서초대로46길 3,37.4922778,127.0100153
석촌호수점,서울시 송파구 석촌동 24-11,37.5060927,127.0989883
선릉역점,서울 강남구 역삼동 709-5 테헤란아이파크 상가-2 1층 22호,37.5023575,127.0467480
선유도역점,서울 영등포구 양평동4가 130,37.5380285,126.8942795
성수역점,서울특별시 성동구 아차산로7길 9-2,37.5461534,127.0543930
성신여대점,서울 성북구 동소문로20가길 22,37.5926466,127.0177497
시흥신세계아울렛점(오픈예정),경기 시흥시 서해안로 699 시흥 신세계 프리미엄 아울렛,37.3796756,126.7369853
신논현역점,서울 서초구 서초동 1303-16 강남역아이파크 제지1층,37.5027581,127.0239193
압구정역점,서울시 강남구 압구정로 162,37.5263327,127.0274689
양재역점,서울 강남구 도곡동 957-14,37.4849660,127.0350989
양천향교점,서울시 강서구 마곡동로 10길 46,37.5670117,126.8397312
여의도KBS점,서울 영등포구 의사당대로 38 102동 106호,37.5257581,126.9187147
여의도신영증권점,서울 영등포구 국제금융로8길 16,37.5213006,126.9288968
역삼GS점,서울 강남구 테헤란로27길 18 1층,37.5025539,127.0379593
역삼역점,서울 강남구 테헤란로25길 15,37.5016184,127.0352296
연신내역점,서울 은평구 연서로 244,37.6189766,126.9223544
왕십리점,서울 성동구 왕십리로 336,37.5631510,127.0328462
이마트월계점,서울 노원구 마들로3길 15 이마트월계점 1층,37.6269007,127.0613340
이마트트레이더스연산점,부산 연제구 좌수영로 241 이마트트레이더스연산점 1층,35.1850940,129.1119510
잠실점,서울 송파구 신천동 7번지 장미A상가동 내제1동 1층 108호,37.5188955,127.0993119
잠원역점,서울시 서초구 잠원동 61-9,37.5128839,127.0108474
충남대점,대전광역시 유성구 궁동 400-4,36.3628983,127.3503110
파르나스몰점,서울특별시 강남구 테헤란로521 B1층 파르나스몰,37.5095450,127.0608688
피나클강남구청역점,서울시 강남구 학동로 343 B108호,37.5174482,127.0406303
한남순천향점,서울 용산구 한남동 636-7,37.5332109,127.0051513
한티역점,서울 강남구 대치동 938,37.4974383,127.0546508
홈플러스목동점,서울 양천구 목동서로 170 지상 1층,37.5302448,126.8733001
홍대입구점,서울 마포구 홍익로15,37.5537639,126.9229774
세종새롬점,새롬동 588,36.4848728,127.2508714
세종시청점,세종시 남세종로 454번지,36.4772520,127.2897062
세종아름점,세종특별자치시 보듬3로 91,36.5113452,127.2495907
울산공업탑점,울산 남구 신정동 1233-7,35.5323347,129.3089233
울산대점,울산 남구 무거동 617-3,35.5446977,129.2609136
울산삼산점,울산시 남구 삼산동 1522-1,35.5401328,129.3363050
울산성남점,울산 중구 성남동 243-4,35.5547646,129.3204543
울산신천점,울산 북구 매산1로 17,35.6349816,129.3557742
울산일산점,울산 동구 방어진순환도로 621,35.4972432,129.4275158
송도점,인천 연수구 송도동 3-6 아크리아1 제1층 106호,37.3946258,126.6510990
송도타임스페이스점,인천 연수구 하모니로 158 A동,37.3832893,126.6422608
인천계양구청점,인천광역시 계양구 용종동 210-6,37.5382443,126.7375505
인천구월점,인천 남동구 예술로 126 제1층 110호,37.4451296,126.7008867
인천구월힐캐슬점,인천광역시 남동구 구월로 212,37.4560189,126.7140509
인천논현점,인천시 남동구 논현동 631-11에스닷몰 1층 101호,37.4018817,126.7237904
인천부평점,인천광역시 부평구 부평대로36번길 8,37.4944977,126.7234347
인천신포점,인천 중구 개항로 33,37.4718674,126.6264172
인하대점,인천 미추홀구 인하로77번길 22,37.4520636,126.6575101
청라국제업무단지점,인천 서구 청라한내로100번길 10 청라큐브시그니처 109호,37.5338210,126.6285605
청라커널웨이점,인천광역시 서구 청라동 162-10,37.5338021,126.6529142
현대아울렛송도점,인천 연수구 송도국제대로 123 현대프리미엄 아울렛 송도점,37.3816291,126.6579170
