지점명,주소,lat,lng
여주중앙점,경기도 여주시 창동 250-1,37.2970531,127.6349659
오산대역웰봄병원점,경기도 오산시 경기대로 534,37.1706269,127.0640749
오산시청점,경기 오산시 오산동925-12,37.1497262,127.0760544
용인기흥구청점,경기 용인시 기흥구 구갈동 354-4,37.2799275,127.1134808
용인동백점,경기 용인시 기흥구 중동 832-1,37.2775360,127.1527797
용인보정점,경기 용인시 기흥구 죽전로 53,37.3207124,127.1146681
용인상현역점,"경기 용인시 수지구 광교중앙로 297, 광교 2차 푸르지오 D동 103",37.2967402,127.0686237
용인역북점,경기 용인시 처인구 역북동 750-1,37.2327547,127.1877737
웨스턴돔점,경기 고양시 일산동구 정발산로 24 A동 102호,37.6557939,126.7721369
의정부민락2지구점,경기도 의정부시 민락동 804-8,37.7445844,127.0958287
이천마장점,경기 이천시 마장면 오천로 93 호산프라자 1층 102호,37.2497427,127.3567462
이천터미널점,경기 이천시 이섭대천로 1203,37.2777621,127.4464839
일산라페스타점,경기 고양시 일산동구 무궁화로 31-1,37.6627672,126.7674327
정자점,경기 성남시 분당구 정자일로 210,37.3687499,127.1064911
탄현역점,경기 고양시 일산서구 일현로 89,37.6949484,126.7644488
파주야당역점,경기 파주시 소리천로8번길 46,37.7122016,126.7601339
파주운정점,경기 파주 목동동 939-4 월드타워 3차 제 112호,37.7277707,126.7343829
판교역점,"경기도 성남시 분당구 판교역로 152,지하1층 101호",37.3942381,127.1103138
판교테크노밸리점,경기 성남시 분당구 삼평동 680 에이치스퀘어 제에스동 제1층 제 104호,37.4012900,127.1086838
평촌로데오점,경기도 안양시 동안구 관평로176,37.3925340,126.9609083
평택소사벌점,경기 평택시 평남로 941 우성메디피아,37.0046213,127.1041729
하남풍산점,"경기도 하남시 풍산동 527-1, 미사강변유림노르웨이숲 1층 114호",37.5508629,127.1863691
화성병점점,경기 화성시 효행로 1062,37.2145305,127.0434597
화성봉담점,경기 화성시 봉담읍 동화길 51,37.2190315,126.9554909
화성향남점,경기 화성시 향남읍 발안로 107,37.1317347,126.9223968
경남대점,경남 창원시 마산합포구 3.15대로 9,35.1812969,128.5582482
김해내외점,"경남 김해시 내외중앙로 41, 116호",35.2337699,128.8661701
김해율하점,경남 김해시 율하3로 38,35.1712567,128.8143922
양산물금점,"경상남도 양산시 물금읍 범어리 2711-1, 103호",35.3293198,129.0136756
진주경상대점,경남 진주시 진주대로 536 부픙빌딩 101호,35.1542214,128.1070234
진주칠암점,경남 진주시 동진로 17,35.1790393,128.0930652
진주혁신도시점,경남 진주시 사들로 83,35.1752409,128.1488780
창원상남점,"경상남도 창원시 성산구 상남로 107, 1층 128호",35.2231118,128.6817807
창원양덕점,경남 창원시 마산회원구 양덕동 149-7,35.2237425,128.5860032
창원유니시티점,경남 창원시 의창구 중동중앙로 47 스튜디오스트리트몰 1층 1045호,35.2566260,128.6249983
창원진해점,경남 창원시 진해구 냉천로69,35.1524376,128.7047130
통영무전점,경남 통영시 통영해안로 315,34.8431191,128.4231683
경산하양점,경북 경산시 하양읍 하양로76,35.9115681,128.8167486
경주중앙점,경북 경주시 노동동 77-3,35.8420705,129.2132278
구미역점,경북 구미시 구미중앙로 92,36.1282511,128.3324802
안동점,경상북도 안동시 북문동 47-7,36.5667896,128.7308351
포항대이점,경북 포항 남구 대이로 109,36.0249570,129.3407365
광주상무지구점,"광주광역시 서구 시청로27, 테라스가든동 153호",35.1511439,126.8508234
광주첨단신용점(오픈예정),"광주 북구 첨단연신로107번길 11, 1층 108호 (신용동)",35.2073368,126.8630158
광주첨단점,광주 광산구 임방울대로 801번길 8,35.2182291,126.8462171
광주충장로점,광주 동구 황금동 91-1,35.1464524,126.9158705
전남대점,광주 북구 우치로 90번길 6,35.1754194,126.9129442
경북대점,대구 북구 대학로 89,35.8930882,128.6096161
대구대실역점,대구 달성군 다사읍 달구벌대로 875,35.8582229,128.4652301
대구동성로점,대구광역시 중구 동성로2가 68-8,35.8698881,128.5970042
