지점명,주소
강릉교동택지점,강릉 교동 솔올로 5번길 55 청호아넥스빌딩 1층 6호
강릉중앙점,강원 강릉시 경강로 2092-1
강원대점,강원 춘천시 서부대성로 239
동해천곡점,강원 동해시 천곡동 850외 1필지 104호
속초엑스포점,강원 속초시 엑스포로1길 39
원주무실점,"강원 원주시 능라동길 48, 씨네프라자 114호"
춘천석사점,강원도 춘천시 석사동 888-4
NC평촌점,경기 안양시 동안구 동안로119 범계뉴코아 지하2층 푸드코트
고양삼송점,경기 고양시 덕양구 동송로 30 112호
과천별양점,경기 과천시 별양상가로 7 1층 111호
광교아브뉴프랑점,"경기 수원시 영통구 센트럴타운로 85 광교아브뉴프랑 1층, A113"
광명하안점,경기도 광명시 하안동 34-11
구리돌다리점,경기도 구리시 검배로13
김포걸포점,"경기 김포시 걸포2로 83, c1블록 154호"
김포구래점,경기도 김포시 구래동 6883-9 다온프라자 107호
김포풍무점,경기 김포시 풍무로 125
남양주다산지금점,경기도 남양주시 다산지금로 130
남양주다산진건점,경기 남양주시 다산중앙로 123번길 22-26
남양주별내점,"경기 남양주시 별내동 1016-1,105호"
다산도농점,경기도 남양주시 미금로 235
동탄나루마을점,경기 화성시 동탄솔빛로 58
동탄북광장점,경기 화성시 동탄 반석로 204
동탄역점,경기도 화성시 동탄대로 489
동탄영천점,"경기 화성시 영천동 681-6,102호"
동탄호수점,경기 화성시 동탄대로 181
롯데몰수지점,경기도 용인시 수지구 성복동 61-7
리빙파워센터기흥점,경기 용인시 기흥구 신고매로 62
미사점,경기도 하남시 망월동 1077 센트럴파크I (1층102호)
벨라시타점,"경기도 고양시 일산동구 강송로 33, 지하층 일부호"
부천상동점,"경기도 부천시 상동로 105, 101호"
부천시청점,경기 부천시 석천로177번길 29
부천신중동점,경기도 부천시 중동 1062-4 로얄프라자 108호
부천역점,경기 부천시 심곡동 174-3
산본로데오점,경기 군포시 산본동 1137-2 여명프라자 104호
성남 위례점,경기 성남시 수정구 위례광장로 310 우성트램타워 A동 103호
성남서현점,경기 성남시 분당구 황새울로342번길 19
송탄출장소점,경기 평택시 관광특구로 38 1층
수원망포점,경기 수원시 영통구 태장로 84
수원역점,경기 수원시 팔달구 향교로 23
수원영통구청점,경기 수원시 영통구 효원로 400
수원영통역점,경기 수원시 영통구 영통동 958-1
수원인계점,경기 수원시 팔달구 권광로 184
수지구청역점,경기 용인시 수지구 수지로296번길 51-8
시흥은계점,"경기 시흥시 은계번영길 19, 106호"
아주대점,경기 수원시 영통구 원천동 22-1
안산고잔점,경기 안산시 단원구 광덕대로 174
안산중앙점,경기 안산시 단원구 고잔동 534-3
앨리웨이광교점,경기 수원시 영통구 광교호수공원로 80
양주옥정점,"경기 양주시 옥정동로7다길 12-13, 119호"
여주신세계아울렛점,경기 여주시 명품로 360 신세계프리미엄아울렛여주
여주중앙점,경기도 여주시 창동 250-1
오산대역웰봄병원점,경기도 오산시 경기대로 534
오산시청점,경기 오산시 오산동925-12
용인기흥구청점,경기 용인시 기흥구 구갈동 354-4
용인동백점,경기 용인시 기흥구 중동 832-1
용인보정점,경기 용인시 기흥구 죽전로 53
용인상현역점,"경기 용인시 수지구 광교중앙로 297, 광교 2차 푸르지오 D동 103"
용인역북점,경기 용인시 처인구 역북동 750-1
웨스턴돔점,경기 고양시 일산동구 정발산로 24 A동 102호
의정부민락2지구점,경기도 의정부시 민락동 804-8
이천마장점,경기 이천시 마장면 오천로 93 호산프라자 1층 102호
이천터미널점,경기 이천시 이섭대천로 1203
일산라페스타점,경기 고양시 일산동구 무궁화로 31-1
정자점,경기 성남시 분당구 정자일로 210
