지점명,주소,lat,lng
광양중마점,전남 광양시 공영로 78,34.9356914,127.6975329
순천대점,전남 순천시 중앙로 268,34.9696228,127.4841347
순천신대점,전남 순천시 해룡면 향매로 59,34.9346455,127.5461465
순천연향점,전남 순천시 연향3로 11,34.9509150,127.5168796
여수해양공원점,전남 여수시 이순신 광장로 191-3,34.7386161,127.7440497
차없는거리점,전남 목포시 영산로75번길 22,34.7910693,126.3842810
군산수송점,전북 군산시 수송로 200,35.9637656,126.7175037
익산모현점,전북 익산시 모현동1가 840,35.9518217,126.9386415
익산영등점,전북 익산시 무왕로 1040,35.9581512,126.9723575
전북대점,전라북도 전주시 덕진구 권삼득로 311,35.8436074,127.1278732
전북도청점,전라북도 전주시 완산구 홍산남로 62,35.8155924,127.1087689
전주객사점,전북 전주시 완산구 고사동 42-4,35.8201441,127.1457118
전주에코시티점,전북 전주 덕진구 송천동2가 1301-2,35.8791133,127.1340538
전주평화점(오픈예정),전북 전주시 완산구 평화동2가 890-1 102호,35.7872110,127.1311813
서귀포중앙점,제주특별자치도 서귀포시 중앙로 72,33.2510632,126.5614808
신제주연동점,제주 제주시 신대로 14길 52,33.4879956,126.4908824
제주공항점(오픈예정),제주 제주시 공항로 2 1층,33.5059364,126.4959513
제주삼화지구점,제주 제주시 건주로4길 6-1,33.5161025,126.5799027
제주시청점,제주특별자치도 제주시 서광로 301,33.5008259,126.5284354
계룡엄사점,충남 계룡시 엄사면 엄사중앙로 108 102호,36.2899506,127.2427896
당진점,충남 당진시 당진중앙2로 103-15,36.8944036,126.6299859
서산호수공원점,충남 서산시 호수공원10로 35,36.7740466,126.4490562
아산배방점,충남 아산시 배방읍 배방로 33,36.7739947,127.0548290
아산터미널점,충남 아산시 번영로 216,36.7842299,127.0145219
천안성정점,충남 천안시 서북구 성정공원3길 4,36.8261598,127.1413382
천안신방점,충청남도 천안시 동남구 신방동 887,36.7917994,127.1293358
천안신불당점,충청남도 천안시 서북구 불당25로 142 골든프라자,36.8138052,127.1076283
천안청당점,청당동 491,36.7836246,127.1527904
천안터미널점,충남 천안시 동남구 신부동 462-5,36.8186486,127.1573679
가경터미널점,충청북도 청주시 흥덕구 강서로 118,36.6247560,127.4296910
청주오송점,충북 청주시 흥덕구 오송읍 오송생명로 210 101호,36.6302498,127.3320623
청주율량점,충청북도 청주시 청원구 주성로279번길 22,36.6713267,127.4976071
청주지웰시티점,충북 청주시 흥덕구 복대동 545-8번지,36.6406067,127.4274454
